set A :=
(1, 2)
(12, 13)
(23, 24)
(34, 35)
(45, 46)
(56, 57)
(67, 68)
(78, 79)
(89, 90)
(100, 101)
(111, 112)
(2, 3)
(13, 14)
(24, 25)
(35, 36)
(46, 47)
(57, 58)
(68, 69)
(79, 80)
(90, 91)
(101, 102)
(112, 113)
(3, 4)
(14, 15)
(25, 26)
(36, 37)
(47, 48)
(58, 59)
(69, 70)
(80, 81)
(91, 92)
(102, 103)
(113, 114)
(4, 5)
(15, 16)
(26, 27)
(37, 38)
(48, 49)
(59, 60)
(70, 71)
(81, 82)
(92, 93)
(103, 104)
(114, 115)
(5, 6)
(16, 17)
(27, 28)
(38, 39)
(49, 50)
(60, 61)
(71, 72)
(82, 83)
(93, 94)
(104, 105)
(115, 116)
(6, 7)
(17, 18)
(28, 29)
(39, 40)
(50, 51)
(61, 62)
(72, 73)
(83, 84)
(94, 95)
(105, 106)
(116, 117)
(7, 8)
(18, 19)
(29, 30)
(40, 41)
(51, 52)
(62, 63)
(73, 74)
(84, 85)
(95, 96)
(106, 107)
(117, 118)
(8, 9)
(19, 20)
(30, 31)
(41, 42)
(52, 53)
(63, 64)
(74, 75)
(85, 86)
(96, 97)
(107, 108)
(118, 119)
(9, 10)
(20, 21)
(31, 32)
(42, 43)
(53, 54)
(64, 65)
(75, 76)
(86, 87)
(97, 98)
(108, 109)
(119, 120)
(10, 11)
(21, 22)
(32, 33)
(43, 44)
(54, 55)
(65, 66)
(76, 77)
(87, 88)
(98, 99)
(109, 110)
(120, 121)
(1, 12)
(12, 23)
(23, 34)
(34, 45)
(45, 56)
(56, 67)
(67, 78)
(78, 89)
(89, 100)
(100, 111)
(2, 13)
(13, 24)
(24, 35)
(35, 46)
(46, 57)
(57, 68)
(68, 79)
(79, 90)
(90, 101)
(101, 112)
(3, 14)
(14, 25)
(25, 36)
(36, 47)
(47, 58)
(58, 69)
(69, 80)
(80, 91)
(91, 102)
(102, 113)
(4, 15)
(15, 26)
(26, 37)
(37, 48)
(48, 59)
(59, 70)
(70, 81)
(81, 92)
(92, 103)
(103, 114)
(5, 16)
(16, 27)
(27, 38)
(38, 49)
(49, 60)
(60, 71)
(71, 82)
(82, 93)
(93, 104)
(104, 115)
(6, 17)
(17, 28)
(28, 39)
(39, 50)
(50, 61)
(61, 72)
(72, 83)
(83, 94)
(94, 105)
(105, 116)
(7, 18)
(18, 29)
(29, 40)
(40, 51)
(51, 62)
(62, 73)
(73, 84)
(84, 95)
(95, 106)
(106, 117)
(8, 19)
(19, 30)
(30, 41)
(41, 52)
(52, 63)
(63, 74)
(74, 85)
(85, 96)
(96, 107)
(107, 118)
(9, 20)
(20, 31)
(31, 42)
(42, 53)
(53, 64)
(64, 75)
(75, 86)
(86, 97)
(97, 108)
(108, 119)
(10, 21)
(21, 32)
(32, 43)
(43, 54)
(54, 65)
(65, 76)
(76, 87)
(87, 98)
(98, 109)
(109, 120)
(11, 22)
(22, 33)
(33, 44)
(44, 55)
(55, 66)
(66, 77)
(77, 88)
(88, 99)
(99, 110)
(110, 121)
(2, 1)
(13, 12)
(24, 23)
(35, 34)
(46, 45)
(57, 56)
(68, 67)
(79, 78)
(90, 89)
(101, 100)
(112, 111)
(3, 2)
(14, 13)
(25, 24)
(36, 35)
(47, 46)
(58, 57)
(69, 68)
(80, 79)
(91, 90)
(102, 101)
(113, 112)
(4, 3)
(15, 14)
(26, 25)
(37, 36)
(48, 47)
(59, 58)
(70, 69)
(81, 80)
(92, 91)
(103, 102)
(114, 113)
(5, 4)
(16, 15)
(27, 26)
(38, 37)
(49, 48)
(60, 59)
(71, 70)
(82, 81)
(93, 92)
(104, 103)
(115, 114)
(6, 5)
(17, 16)
(28, 27)
(39, 38)
(50, 49)
(61, 60)
(72, 71)
(83, 82)
(94, 93)
(105, 104)
(116, 115)
(7, 6)
(18, 17)
(29, 28)
(40, 39)
(51, 50)
(62, 61)
(73, 72)
(84, 83)
(95, 94)
(106, 105)
(117, 116)
(8, 7)
(19, 18)
(30, 29)
(41, 40)
(52, 51)
(63, 62)
(74, 73)
(85, 84)
(96, 95)
(107, 106)
(118, 117)
(9, 8)
(20, 19)
(31, 30)
(42, 41)
(53, 52)
(64, 63)
(75, 74)
(86, 85)
(97, 96)
(108, 107)
(119, 118)
(10, 9)
(21, 20)
(32, 31)
(43, 42)
(54, 53)
(65, 64)
(76, 75)
(87, 86)
(98, 97)
(109, 108)
(120, 119)
(11, 10)
(22, 21)
(33, 32)
(44, 43)
(55, 54)
(66, 65)
(77, 76)
(88, 87)
(99, 98)
(110, 109)
(121, 120)
(12, 1)
(23, 12)
(34, 23)
(45, 34)
(56, 45)
(67, 56)
(78, 67)
(89, 78)
(100, 89)
(111, 100)
(13, 2)
(24, 13)
(35, 24)
(46, 35)
(57, 46)
(68, 57)
(79, 68)
(90, 79)
(101, 90)
(112, 101)
(14, 3)
(25, 14)
(36, 25)
(47, 36)
(58, 47)
(69, 58)
(80, 69)
(91, 80)
(102, 91)
(113, 102)
(15, 4)
(26, 15)
(37, 26)
(48, 37)
(59, 48)
(70, 59)
(81, 70)
(92, 81)
(103, 92)
(114, 103)
(16, 5)
(27, 16)
(38, 27)
(49, 38)
(60, 49)
(71, 60)
(82, 71)
(93, 82)
(104, 93)
(115, 104)
(17, 6)
(28, 17)
(39, 28)
(50, 39)
(61, 50)
(72, 61)
(83, 72)
(94, 83)
(105, 94)
(116, 105)
(18, 7)
(29, 18)
(40, 29)
(51, 40)
(62, 51)
(73, 62)
(84, 73)
(95, 84)
(106, 95)
(117, 106)
(19, 8)
(30, 19)
(41, 30)
(52, 41)
(63, 52)
(74, 63)
(85, 74)
(96, 85)
(107, 96)
(118, 107)
(20, 9)
(31, 20)
(42, 31)
(53, 42)
(64, 53)
(75, 64)
(86, 75)
(97, 86)
(108, 97)
(119, 108)
(21, 10)
(32, 21)
(43, 32)
(54, 43)
(65, 54)
(76, 65)
(87, 76)
(98, 87)
(109, 98)
(120, 109)
(22, 11)
(33, 22)
(44, 33)
(55, 44)
(66, 55)
(77, 66)
(88, 77)
(99, 88)
(110, 99)
(121, 110)
;

set G :=
(1, 12, 13, 2)
(23, 34, 35, 24)
(45, 56, 57, 46)
(56, 67, 68, 57)
(78, 89, 90, 79)
(90, 101, 102, 91)
(101, 112, 113, 102)
(3, 14, 15, 4)
(36, 47, 48, 37)
